type,word,n,gesture_proportion,iconic_gesture_proportion,other_proportion,freq,log_freq,dominant_modality,dominant_action,auditory_strength,visual_strength,haptic_strength,gustatory_strength,olfactory_strength,max_strength,max_action
non-iconic word,said,303,0.36633663366336633,0.04950495049504951,0.31683168316831684,56531,4.752286667940937,Auditory,Mouth,4.555555556,0.777777778,0.055555556,0,0,4.555555556,4.9
iconic word,spank,97,0.6907216494845361,0.12371134020618557,0.5670103092783505,173,2.2380461031287955,Haptic,Hand_arm,2.6,2.85,3.95,0,0,3.95,4.6
iconic word,slushy,67,0.7313432835820896,0.11940298507462686,0.6119402985074627,3,0.47712125471966244,Visual,Mouth,1.65,3.1,2.8,1.9,0.65,3.1,2.761904762
non-iconic word,realize,58,0.603448275862069,0.06896551724137931,0.5172413793103449,4032,3.6055205234374688,Interoceptive,Head,1,2,0.375,0.3125,0.375,2.5,3.947368421
non-iconic word,inform,57,0.15789473684210525,0.10526315789473684,0.05263157894736842,644,2.808885867359812,Auditory,Mouth,3.5,1.833333333,1.166666667,0.666666667,0.666666667,3.5,3
non-iconic word,wearing,56,0.7142857142857143,0.05357142857142857,0.6607142857142857,4410,3.6444385894678386,Visual,Foot_leg,0.176470588,3.823529412,2.470588235,0,0.294117647,3.823529412,4.3
iconic word,yucky,56,0.4642857142857143,0.03571428571428571,0.42857142857142855,22,1.3424226808222062,Gustatory,Mouth,1.444444444,3,1.833333333,3,2.666666667,3,3.5
non-iconic word,knew,54,0.5925925925925926,0.07407407407407407,0.5185185185185185,18817,4.2745503849095305,Interoceptive,Head,1.181818182,1,0.5,0.227272727,0.409090909,2.772727273,3.666666667
non-iconic word,filling,51,0.7843137254901961,0.13725490196078433,0.6470588235294118,494,2.693726948923647,Visual,Mouth,1,2.833333333,2.222222222,1.166666667,0.166666667,2.833333333,1.947368421
non-iconic word,other,50,0.66,0.18,0.48,37505,4.574089169798587,Visual,Head,1.476190476,2.571428571,1.19047619,0.714285714,0.571428571,2.571428571,1.2
non-iconic word,exact,46,0.8260869565217391,0.21739130434782608,0.6086956521739131,1154,3.0622058088197126,Visual,Head,1.55,3.75,1.85,0.9,0.6,3.75,1.95
non-iconic word,grateful,43,0.27906976744186046,0.046511627906976744,0.23255813953488372,1355,3.1319392952104246,Interoceptive,Head,1.117647059,1.176470588,0.470588235,0.176470588,0.117647059,4.176470588,3.533333333
non-iconic word,prevail,40,0.35,0,0.35,107,2.0293837776852097,Interoceptive,Head,1.315789474,2.105263158,0.789473684,0.157894737,0.263157895,2.578947368,2.4
